Company/Brand,Sector,Stage,Amount($),HeadQuarter,What_it_does
Eduvanz,"Finance, Financial Services",Angel,500000,Mumbai,"Eduvanz is new, innovative finance company, which is completely revolutionizing the student loan market."
Rupeek,"Financial Services, Lending",Series A,6830000,Bangalore,Rupeek is an asset backed online lending platform currently operating in the space of Gold loans.
Backpacker Panda Holidays Private Limited,"Tourism, Travel",Series A,1400000,Pune,Backpacker Panda is creating an ecosystem for youth accommodation and travel.
Shape (School Health and Physical Education),Education,Seed,200000,Pune,Physical education start up
Placio,"Hospitality, Real Estate",Seed,2000000,Noida,Placio is a student housing and a complete broker-free platform.
Aviom India Housing Finance,Finance,Series A,21900000,New Delhi,Delhi based housing finance company.
GenRobotic,Market Research,Seed,3515000,Trivandrum,A Robotic Company.
HeyHolidays,"Tourism, Travel",Seed,1000000,Bangalore,"HeyHolidays, a global player in online vacation rentals."
Pratilipi,"Digital Media, EBooks, Publishing, Reading Apps",Series A,4300000,Bengaluru,Amazon's Kindle Direct Publishing for Indian Languages
SectorQube,"Consumer Electronics, Embedded Systems, Hardware, Smart Building, Software",Seed,3515000,Ernakulam,SectorQube develops smart kitchen devices that make food automatically.
Food Memories,"Food and Beverage, Food Processing",Seed,3515000,Ahmedabad,Iconic Indian Delicacies from the most renowned vendors of India Delivered Globally.
ZAMROO,"Internet, Marketplace, Shopping",Seed,3515000,India,Zamroo is a growing mobile marketplace that allows users to buy and sell locally.
Silversparro Technologies Pvt. Ltd,"Analytics, Computer Vision, Enterprise Software, Machine Learning, Natural Language Processing, Speech Recognition",Seed,300000,Gurgaon,Silversparro is a deep learning technology solution provider.
Creator’s Gurukul,Facilities Support Services,Angel,3515000,Gurgaon,A coworking space provider.
Emflux Motors,"Automotive, Electric Vehicle, Energy",Seed,364846,Bengaluru,Emflux Motors is committed to bring clean and sustainable energy into a state of universal acceptance through technological innovation.
Tricog Health Services Pvt Ltd,"Health Care, Health Diagnostics, Predictive Analytics",Series A,4000000,Bangalore,Predictive Healthcare Analytics Company
Scapic,"Cloud Computing, Computer, SaaS, Software",Seed,500000,Bangalore,Virtual/Augmented Reality Start Up .
6Degree,"Fashion, Lifestyle, Retail",Seed,400000,Mumbai,A fashion enterprise that provides a launchpad to fashion talent and brands using a tech enabled platform
